scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1200+30,none,1,30,0,,0.0,0,0.0,0,0.0,0,11,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,60,0,,0.0,0,0.0,0,0.0,0,21,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,90,0,,0.0,0,0.0,0,0.0,0,31,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,120,0,,0.0,0,0.16666666666666666,1,0.0,0,41,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,150,0,,0.0,0,0.8,1,0.0,0,52,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,180,2,32.16726394790388,0.0011269057477254782,1,0.0,0,0.0,0,62,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,210,7,25.565516130076837,0.02161158130448276,7,0.0,0,0.0,0,72,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,240,14,27.428482338298526,0.032160609671626615,12,0.7333333333333333,1,0.0,0,82,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,270,14,28.223183417914562,0.02856997573877654,7,0.13333333333333333,1,0.0,0,93,1,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,300,6,24.143430197180102,0.016243831921610764,6,0.0,0,0.0,0,103,1,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,330,13,26.60768373457746,0.023267198342620077,10,0.1,1,0.0,0,113,5,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,360,16,24.837028433257785,0.039848556164834764,13,0.7,1,0.0,0,123,18,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,390,9,24.22227293497231,0.0253635095787151,8,0.0,0,0.0,0,134,26,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,420,19,24.919077961925588,0.04367561010674213,16,0.0,0,0.0,0,144,31,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,450,7,27.712903980234525,0.016316561815609514,6,0.0,0,0.0,0,154,41,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,480,17,25.611896988148903,0.03964610718824512,14,0.13333333333333333,1,0.0,0,164,50,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,510,14,26.652710904804966,0.03460107413222412,12,0.8666666666666667,1,0.0,0,175,61,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,540,11,25.553330598138267,0.026107470304011334,8,0.0,0,0.0,0,185,69,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,570,7,22.732344146126533,0.021829572857694757,7,0.0,0,0.0,0,195,83,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,600,9,23.24922214564695,0.016076830654846695,6,0.23333333333333334,1,0.0,0,205,95,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,630,24,23.871951667245103,0.04639288013076452,17,0.7,1,0.0,0,216,107,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,660,15,24.74633803879072,0.03477744508816348,12,0.0,0,0.0,0,226,119,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,690,11,27.694066948806757,0.026741310867485404,10,0.0,0,0.0,0,236,127,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,720,9,27.746782929464043,0.02578679019613522,9,0.0,0,0.0,0,246,129,0,0,1200.0,1200.0,30.0,0.0,0
1200+30,none,1,750,18,26.825260659461655,0.03744126934136413,15,0.0,0,0.0,0,257,140,0,0,1200.0,1200.0,30.0,0.0,0
