scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1200+60,none,1,30,0,,0.0,0,0.0,0,0.0,0,11,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,60,0,,0.0,0,0.0,0,0.0,0,21,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,90,0,,0.0,0,0.0,0,0.0,0,32,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,120,0,,0.0,0,0.16666666666666666,1,0.0,0,42,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,150,0,,0.0,0,0.8,1,0.0,0,53,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,180,2,32.16726394790388,0.0011269057477254782,1,0.6333333333333333,1,0.0,0,63,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,210,7,25.565516130076837,0.02161158130448276,7,0.23333333333333334,1,0.0,0,74,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,240,12,27.15864546338039,0.030517650673404735,11,0.0,0,0.0,0,84,0,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,270,8,28.952816071619466,0.022105436046825844,8,0.9666666666666667,1,0.0,0,95,1,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,300,11,25.072236974081328,0.022408610978793795,8,0.06666666666666667,1,0.0,0,105,1,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,330,11,26.682558374406817,0.02646023253251144,10,0.7333333333333333,1,0.0,0,116,5,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,360,11,27.420220467900332,0.026452722410628363,10,0.5,1,0.0,0,126,17,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,390,12,25.22518678257071,0.03350778029700905,11,0.9333333333333333,1,0.0,0,137,27,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,420,16,25.734230330422395,0.040683422476970085,14,0.0,0,0.0,0,147,32,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,450,8,26.094108908008614,0.025221809135358816,8,0.43333333333333335,2,0.0,0,158,43,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,480,16,25.162594856723995,0.0448552135664509,14,1.9333333333333333,2,0.0,0,168,52,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,510,11,27.345846697890746,0.025335721345161724,10,1.0,1,0.9666666666666667,1,179,61,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,540,13,27.977663937297653,0.030845664377890596,12,1.7666666666666666,2,1.0,1,189,73,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,570,6,28.712076415654067,0.016262577663457022,5,1.6333333333333333,2,1.4,2,200,85,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,600,12,26.17003433670041,0.02008321571844552,9,1.9333333333333333,2,1.0333333333333334,2,210,95,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,630,20,25.429111263967712,0.04490719520598721,16,2.0,2,2.0,2,221,108,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,660,11,28.258359814071458,0.015580932163686612,8,2.7333333333333334,3,2.0,2,231,122,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,690,11,28.304392967563217,0.022188268644538312,9,3.0,3,2.8333333333333335,3,242,131,0,0,1200.0,1200.0,30.0,0.0,0
1200+60,none,1,720,13,23.853270093307643,0.029025354453720335,10,3.033333333333333,4,2.033333333333333,3,252,139,0,0,1200.0,1200.0,30.0,0.0,0
