scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1950+0,none,4,30,0,,0.0,0,0.0,0,0.0,0,16,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,60,0,,0.0,0,0.0,0,0.0,0,32,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,120,0,,0.0,0,0.0,0,0.0,0,65,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,150,0,,0.0,0,0.0,0,0.0,0,81,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,180,5,31.72041746315627,0.008685520938706285,4,0.0,0,0.0,0,97,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,210,5,28.69247536589514,0.010699275444540508,4,0.0,0,0.0,0,114,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,240,16,26.49676687526504,0.029882805527382553,12,0.0,0,0.0,0,130,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,270,16,25.599476052938794,0.038588865383683904,14,0.0,0,0.0,0,146,3,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,300,18,25.192862273449503,0.04333908903235605,15,0.0,0,0.0,0,162,6,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,330,17,24.72249198537512,0.05003533799549302,16,0.0,0,0.0,0,179,7,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,360,20,24.655288844233617,0.05411371421824261,17,0.0,0,0.0,0,195,16,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,390,19,24.5860667480714,0.048989953578271184,17,0.0,0,0.0,0,211,29,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,420,13,24.268200290956997,0.037449607149360985,12,0.0,0,0.0,0,227,41,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,450,21,23.918639226342858,0.04579783523308455,16,0.0,0,0.0,0,244,55,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,4,480,18,23.41542125264934,0.0511763787504511,16,0.0,0,0.0,0,260,68,0,0,1200.0,1200.0,30.0,0.0,0
