experiment_id,mainline_vph,ramp_vph,controller,seed,status,output_dir,failure_reason
main1200_ramp120_none_seed0_a4849803,1200,120,none,0,valid,outputs\repro_0_2_3\scan\20260807_154416\runs\main1200_ramp120_none_seed0_a4849803,
main1200_ramp120_alinea_seed0_a4849803,1200,120,alinea,0,valid,outputs\repro_0_2_3\scan\20260807_154416\runs\main1200_ramp120_alinea_seed0_a4849803,
