experiment_id,mainline_vph,ramp_vph,controller,seed,decision,reason,selected_output_dir
main1200_ramp120_none_seed0_ebd06a7c,1200,120,none,0,run,no_existing_attempt,
main1200_ramp120_alinea_seed0_ebd06a7c,1200,120,alinea,0,run,no_existing_attempt,D:\python_install\py\rl\0325\0325\outputs\cr04_acceptance\tmp_iw2edr3\scan\scan_b74b0a77e3962e0c9fd225eebaa0965b7dd5fa0fd5fc04e98d28098151057e57\runs\main1200_ramp120_alinea_seed0_ebd06a7c\attempt_0001
