scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1925+30,none,1,30,0,,0.0,0,0.0,0,0.0,0,17,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,60,0,,0.0,0,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,120,0,,0.0,0,0.16666666666666666,1,0.0,0,65,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,150,0,,0.0,0,0.8,1,0.0,0,82,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,180,2,32.16726394790388,0.0011269057477254782,1,0.0,0,0.0,0,98,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,210,15,25.694624614582104,0.03711852669018422,9,0.0,0,0.0,0,114,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,240,13,27.093941312014426,0.032621788355578,11,0.3333333333333333,1,0.0,0,130,0,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,270,12,25.97580789983113,0.022714340751683913,10,0.6,1,0.0,0,147,1,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,300,15,25.120136460574503,0.032196675890372714,12,0.0,0,0.0,0,163,1,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,330,17,23.172220321755233,0.02661103059067974,11,0.0,0,0.0,0,179,6,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,360,23,22.349092304099706,0.05051505213183892,17,0.5333333333333333,1,0.0,0,195,18,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,390,18,22.338090598996285,0.0591632998278025,17,0.36666666666666664,1,0.0,0,213,28,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,420,22,22.276595799992617,0.06377987348316765,20,0.0,0,0.0,0,229,37,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,450,22,22.199804917480634,0.06000784913102564,18,0.0,0,0.0,0,245,48,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,480,15,22.98958276885921,0.03227406696113159,11,0.0,0,0.0,0,261,54,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,510,24,23.07268359588477,0.05568618957770563,18,0.9,1,0.0,0,278,68,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,540,21,22.60136902981152,0.05843251379756585,18,0.23333333333333334,1,0.0,0,294,82,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,570,25,22.49421315604222,0.053420303874984636,18,0.0,0,0.0,0,310,98,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,600,18,23.558849971995226,0.05989861347206139,18,0.8666666666666667,1,0.0,0,326,112,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,630,13,22.98527805880834,0.034466156301126226,11,0.13333333333333333,1,0.03333333333333333,1,343,128,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,660,22,19.51748316467916,0.0606196040442948,17,0.0,0,0.0,0,359,141,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,690,20,23.462633937129,0.05305176515626423,17,0.0,0,0.0,0,375,157,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,720,22,23.463966452656575,0.06044385596082596,19,0.1,1,0.0,0,391,172,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,750,19,24.019048333172435,0.04732123538850222,16,1.0,1,0.03333333333333333,1,408,188,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,780,13,23.96993643988387,0.038484375001496575,12,1.0,1,1.0,1,424,204,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,810,16,23.477967883922158,0.04370725078859626,14,1.0,1,1.0,1,440,218,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,840,22,23.36687729614868,0.04913329995155399,16,1.2666666666666666,2,1.0,1,456,232,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,870,21,22.66854878287075,0.045671715028449474,17,2.0,2,1.2333333333333334,2,473,248,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,900,20,22.893609817298902,0.062324538385630984,19,2.0,2,2.0,2,489,263,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,930,24,23.050362965024444,0.04914017583504536,18,2.0,2,2.0,2,505,279,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,960,22,22.953245317048474,0.04941690861817468,17,2.0,2,2.0,2,521,294,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,990,20,23.08799002770703,0.04326071466897664,15,2.6333333333333333,3,2.0,2,538,308,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,1020,24,24.114016470240568,0.04409969037843666,18,3.0,3,2.5,3,554,323,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,1050,20,24.250358651616995,0.03899298502466119,15,3.0,3,3.0,3,570,339,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,1080,10,25.474283846537034,0.02651815311576987,9,3.2333333333333334,4,2.4,3,586,353,0,0,1200.0,1200.0,30.0,0.0,0
1925+30,none,1,1110,21,20.377531350474754,0.06018766321653857,17,3.0,3,2.8,3,604,369,0,0,1200.0,1200.0,30.0,0.0,0
