scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
2000+0,none,5,30,0,,0.0,0,0.0,0,0.0,0,17,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,60,0,,0.0,0,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,90,0,,0.0,0,0.0,0,0.0,0,50,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,120,0,,0.0,0,0.0,0,0.0,0,67,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,150,0,,0.0,0,0.0,0,0.0,0,83,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,180,1,31.98978394875707,0.0024486984175576747,1,0.0,0,0.0,0,100,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,210,9,26.833969780652247,0.021958825902485064,8,0.0,0,0.0,0,117,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,240,16,26.701744865102608,0.033110828352826145,13,0.0,0,0.0,0,133,0,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,270,19,26.148298496396478,0.04294040677194744,16,0.0,0,0.0,0,150,1,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,300,11,25.65515278779719,0.026915602841449036,9,0.0,0,0.0,0,167,1,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,330,22,23.987231772973356,0.04886573164666383,17,0.0,0,0.0,0,183,7,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,360,19,23.905763943668774,0.04212357621320374,15,0.0,0,0.0,0,200,19,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,390,20,23.636317539147285,0.04029331996773256,15,0.0,0,0.0,0,217,33,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,420,4,21.542408183743376,0.005958163025069515,2,0.0,0,0.0,0,233,46,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,450,20,20.93128018949831,0.07110571963811006,20,0.0,0,0.0,0,250,53,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,480,27,20.930609785907006,0.048722915881215086,19,0.0,0,0.0,0,267,65,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,510,23,20.936946016693106,0.05472031598971512,18,0.0,0,0.0,0,283,79,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,540,25,20.91305246687953,0.06873151818588875,21,0.0,0,0.0,0,300,93,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,570,21,20.76014874165841,0.06783521067475817,19,0.0,0,0.0,0,317,97,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,600,24,20.82304281220987,0.05460036653754135,18,0.0,0,0.0,0,333,110,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,630,16,23.09229532799749,0.04922898207863871,15,0.0,0,0.0,0,350,124,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,660,14,22.735914348455143,0.03812648974388253,12,0.0,0,0.0,0,367,138,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,690,21,21.826410065041514,0.043109076807951396,15,0.0,0,0.0,0,383,152,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,720,23,21.79764626924689,0.04971301201324726,17,0.0,0,0.0,0,400,168,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,750,19,21.73373981999768,0.06301800454246138,18,0.0,0,0.0,0,417,183,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,780,24,21.672195247769746,0.05421059070414647,19,0.0,0,0.0,0,433,198,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,810,18,21.64678404949519,0.06064829538305882,17,0.0,0,0.0,0,450,213,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,840,18,22.02420384431935,0.05661247738919428,15,0.0,0,0.0,0,467,228,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,870,23,22.654535989347853,0.04374177151511845,18,0.0,0,0.0,0,483,241,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,900,28,21.89925280666693,0.05860588553091664,20,0.0,0,0.0,0,500,257,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,930,10,21.891392211052015,0.020463333743769376,6,0.0,0,0.0,0,517,272,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,960,24,21.4166315246341,0.060195795341360284,20,0.0,0,0.0,0,533,287,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,990,24,21.39613570085896,0.061081754133903134,19,0.0,0,0.0,0,550,303,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1020,21,21.384352862284423,0.06161898277804501,17,0.0,0,0.0,0,567,318,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1050,24,21.360655696496448,0.040893655817253224,17,0.0,0,0.0,0,583,332,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1080,18,21.85722537214388,0.05414352962806106,16,0.0,0,0.0,0,600,348,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1110,22,22.09058771630147,0.05109808561586533,18,0.0,0,0.0,0,617,362,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1140,19,22.180508400549527,0.06270067833310122,18,0.0,0,0.0,0,633,378,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1170,22,22.169698089768357,0.057033595685216674,18,0.0,0,0.0,0,650,393,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1200,21,22.24091317288763,0.056285637314996015,18,0.0,0,0.0,0,667,408,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1230,15,21.895067240552482,0.0494170892764032,14,0.0,0,0.0,0,683,423,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1260,18,22.655286442300078,0.05152703294186646,15,0.0,0,0.0,0,700,438,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1290,21,22.298220996276896,0.05550515338454716,18,0.0,0,0.0,0,717,454,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1320,19,22.619259666341357,0.05903035944848701,18,0.0,0,0.0,0,733,469,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1350,12,22.74814833654738,0.03454566421392353,11,0.0,0,0.0,0,750,484,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1380,15,21.68801958032299,0.054177588635248713,15,0.0,0,0.0,0,767,499,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1410,22,21.642960627256475,0.05735515578083626,18,0.0,0,0.0,0,783,515,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1440,23,21.665910769504638,0.05907749332230499,19,0.0,0,0.0,0,800,530,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1470,24,21.684488417236494,0.05559159602408575,18,0.0,0,0.0,0,817,545,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1500,26,21.599900378671453,0.05679423539465536,19,0.0,0,0.0,0,833,559,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1530,23,21.625279106579224,0.06462809155012791,19,0.0,0,0.0,0,850,575,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1560,22,21.27703196832187,0.05822210537283278,17,0.0,0,0.0,0,867,589,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1590,20,22.725046157816482,0.054441928573642905,18,0.0,0,0.0,0,883,604,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1620,16,24.50032919531007,0.046958482175777284,15,0.0,0,0.0,0,900,619,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1650,20,23.619858256680455,0.05140525801551803,17,0.0,0,0.0,0,917,634,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1680,20,22.509898322830523,0.040746044458652854,15,0.0,0,0.0,0,933,650,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1710,20,22.89287608967612,0.05402333804220992,17,0.0,0,0.0,0,950,665,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1740,20,22.82334422833609,0.06509632064883893,19,0.0,0,0.0,0,967,680,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1770,12,23.60817456224881,0.040035096190786136,12,0.0,0,0.0,0,983,695,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1800,19,22.954283447263876,0.0578106464645316,17,0.0,0,0.0,0,1000,711,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1830,19,22.750964923634204,0.05397773750178582,17,0.0,0,0.0,0,1017,727,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1860,18,22.550902342343967,0.06269176427982377,18,0.0,0,0.0,0,1033,741,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1890,11,22.547758710049536,0.0382692044722224,11,0.0,0,0.0,0,1050,757,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1920,14,21.613066347303608,0.045756491315470764,13,0.0,0,0.0,0,1067,771,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1950,20,21.647059887040072,0.0628850066519476,18,0.0,0,0.0,0,1083,787,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,1980,23,21.731390737406596,0.06057136303123798,19,0.0,0,0.0,0,1100,803,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2010,21,21.695268798056613,0.060483634968356154,19,0.0,0,0.0,0,1117,818,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2040,21,21.551590453298402,0.05878937072432109,18,0.0,0,0.0,0,1133,833,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2070,22,20.6281944318588,0.06137109712038106,18,0.0,0,0.0,0,1150,848,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2100,18,15.931184358924092,0.07914290372369427,17,0.0,0,0.0,0,1167,863,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2130,28,11.037969339099616,0.102496766963759,16,0.0,0,0.0,0,1183,878,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2160,27,10.486523297779003,0.11668663146469195,18,0.0,0,0.0,0,1200,893,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2190,25,10.535229225549621,0.12853175264425165,18,0.0,0,0.0,0,1217,908,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2220,28,10.762361347779091,0.13669883264349966,15,0.0,0,0.0,0,1233,923,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2250,24,10.347141611250162,0.09269523158709489,15,0.0,0,0.0,0,1250,937,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2280,33,11.932542830224723,0.10494216772010531,19,0.0,0,0.0,0,1267,954,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2310,26,11.88031467258467,0.1162823956476359,16,0.0,0,0.0,0,1283,968,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2340,26,10.434105135607224,0.12256199885368915,15,0.0,0,0.0,0,1300,984,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2370,21,10.833066209493623,0.0847671135677274,14,0.0,0,0.0,0,1317,1000,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2400,23,14.625889955064496,0.08551356963892734,19,0.0,0,0.0,0,1333,1014,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2430,24,12.941576835174532,0.09935339256354989,18,0.0,0,0.0,0,1350,1029,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2460,25,10.807764764552491,0.09528397539788784,13,0.0,0,0.0,0,1367,1045,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2490,26,4.740478487146391,0.1662900809568479,13,0.0,0,0.0,0,1383,1061,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2520,29,7.331719841563224,0.12941924218517517,17,0.0,0,0.0,0,1400,1077,0,0,1200.0,1200.0,30.0,0.0,0
2000+0,none,5,2550,30,9.540679846831543,0.10492275589648822,18,0.0,0,0.0,0,1417,1092,0,0,1200.0,1200.0,30.0,0.0,0
