scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1975+0,none,1,30,0,,0.0,0,0.0,0,0.0,0,16,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,60,0,,0.0,0,0.0,0,0.0,0,33,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,120,0,,0.0,0,0.0,0,0.0,0,66,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,150,0,,0.0,0,0.0,0,0.0,0,82,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,180,3,30.706927701809086,0.0038052805406290227,2,0.0,0,0.0,0,99,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,210,7,27.944007669136123,0.018667300561894726,6,0.0,0,0.0,0,115,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,240,6,25.801039237010365,0.011305398852220113,5,0.0,0,0.0,0,132,0,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,270,9,22.448002404674426,0.03140591351051067,9,0.0,0,0.0,0,148,1,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,300,19,22.448024057164176,0.052880591053622084,17,0.0,0,0.0,0,165,2,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,330,18,22.006083478021367,0.04733274981182755,15,0.0,0,0.0,0,181,7,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,360,23,22.140090029339945,0.04599310077401716,16,0.0,0,0.0,0,197,13,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,390,16,22.05120504870907,0.05683774501362393,16,0.0,0,0.0,0,214,16,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,420,24,22.013481976955926,0.06533377586121579,20,0.0,0,0.0,0,230,25,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,450,21,22.00596530424899,0.054464404710342744,17,0.0,0,0.0,0,247,39,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,480,16,21.989240656913374,0.04528029981935238,14,0.0,0,0.0,0,263,50,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,510,22,21.736488123893892,0.06797034585112556,20,0.0,0,0.0,0,280,63,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,540,18,22.05730321444718,0.04026547007003671,14,0.0,0,0.0,0,296,77,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,570,22,22.6427154716076,0.06444879933290698,19,0.0,0,0.0,0,313,93,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,600,21,22.64506341376006,0.05958502333956706,19,0.0,0,0.0,0,329,108,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,630,17,22.484490822631535,0.04926600829077188,15,0.0,0,0.0,0,346,124,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,660,17,23.170534866588355,0.05237443894379983,16,0.0,0,0.0,0,362,138,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,690,21,22.85280742878064,0.047358617895607344,16,0.0,0,0.0,0,378,153,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,720,24,22.884157603477103,0.051366656518699,18,0.0,0,0.0,0,395,169,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,750,25,23.283050653336474,0.05362778506736845,18,0.0,0,0.0,0,411,184,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,780,16,23.098895134094434,0.04219320864237564,13,0.0,0,0.0,0,428,199,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,810,21,22.716141259575892,0.044259361723279274,16,0.0,0,0.0,0,444,214,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,840,20,23.188928179957706,0.054057028848366905,17,0.0,0,0.0,0,461,230,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,870,19,22.304499156643953,0.05329261001148211,16,0.0,0,0.0,0,477,244,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,900,21,22.61314371364891,0.057630327735550206,18,0.0,0,0.0,0,494,260,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,930,22,22.42926832522805,0.055793383484255325,18,0.0,0,0.0,0,510,276,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,960,18,22.98995436794268,0.05593524687555108,17,0.0,0,0.0,0,527,290,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,990,21,22.44845511280415,0.05711764892541661,18,0.0,0,0.0,0,543,306,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1020,23,22.68416476733098,0.0556499349262405,18,0.0,0,0.0,0,560,320,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1050,8,23.838891224148025,0.02019863126061144,7,0.0,0,0.0,0,576,335,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1080,11,21.271423197357738,0.04050818132586755,11,0.0,0,0.0,0,592,351,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1110,17,21.2625289460892,0.0464686168424502,14,0.0,0,0.0,0,609,366,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1140,21,21.12062082940503,0.06845457831971467,19,0.0,0,0.0,0,625,381,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1170,20,21.105642320443778,0.05746019423766408,17,0.0,0,0.0,0,642,396,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1200,20,21.05899286043021,0.06841325479670105,19,0.0,0,0.0,0,658,411,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1230,23,21.009533967170057,0.057456578379102057,18,0.0,0,0.0,0,675,427,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1260,27,20.821609513806422,0.06090930947317853,20,0.0,0,0.0,0,691,443,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1290,21,21.696657680371754,0.05350248160291358,16,0.0,0,0.0,0,708,456,0,0,1200.0,1200.0,30.0,0.0,0
1975+0,none,1,1320,24,22.36290698109005,0.04830439050883039,18,0.0,0,0.0,0,724,472,0,0,1200.0,1200.0,30.0,0.0,0
