scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1950+0,none,2,30,0,,0.0,0,0.0,0,0.0,0,16,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,60,0,,0.0,0,0.0,0,0.0,0,32,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,120,0,,0.0,0,0.0,0,0.0,0,65,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,150,0,,0.0,0,0.0,0,0.0,0,81,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,180,2,30.785220472210636,0.0050949129904239495,2,0.0,0,0.0,0,97,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,210,7,30.233735687648693,0.01500244625231441,6,0.0,0,0.0,0,114,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,240,8,29.071109475242093,0.014661313174356394,6,0.0,0,0.0,0,130,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,270,11,25.043708675978678,0.03503193575471405,11,0.0,0,0.0,0,146,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,300,20,23.629012902361644,0.051240515659641044,17,0.0,0,0.0,0,162,3,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,330,19,23.02884802467096,0.03816149094229028,14,0.0,0,0.0,0,179,10,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,360,3,20.5687553836748,0.011425095837009281,3,0.0,0,0.0,0,195,16,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,390,23,20.56178742613338,0.06147877318708481,19,0.0,0,0.0,0,211,20,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,420,23,20.52810712161402,0.06932155241296697,19,0.0,0,0.0,0,227,25,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,450,22,20.571187468908317,0.06252973808265855,19,0.0,0,0.0,0,244,39,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,480,20,20.583999572229317,0.06653990828540847,18,0.0,0,0.0,0,260,54,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,510,23,20.226763524113263,0.05556831259690493,18,0.0,0,0.0,0,276,58,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,540,23,20.985174490441814,0.07443203043420302,20,0.0,0,0.0,0,292,70,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,570,21,21.69268702110986,0.05181444647000148,17,0.0,0,0.0,0,309,85,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,600,18,21.665263090785416,0.06580633655558661,18,0.0,0,0.0,0,325,100,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,630,24,23.30168257452938,0.05096543448084579,17,0.0,0,0.0,0,341,114,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,660,19,22.791511412453197,0.05792664546236021,17,0.0,0,0.0,0,357,129,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,690,18,23.508818017500957,0.03373252871206015,13,0.0,0,0.0,0,374,143,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,720,19,23.235913589078077,0.05386803959783227,17,0.0,0,0.0,0,390,159,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,750,20,22.6774723963676,0.053411209674429,16,0.0,0,0.0,0,406,174,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,780,15,23.326408518084072,0.04025777533650133,13,0.0,0,0.0,0,422,189,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,810,16,22.712712692617604,0.04560773252774576,14,0.0,0,0.0,0,439,205,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,840,22,22.44004575689667,0.05386228719285479,18,0.0,0,0.0,0,455,220,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,870,26,22.281653498972233,0.052732879455481906,18,0.0,0,0.0,0,471,235,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,900,24,22.101604742989764,0.05249477883238948,18,0.0,0,0.0,0,487,250,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,930,24,22.35878268089803,0.05771078543059692,19,0.0,0,0.0,0,504,265,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,960,20,23.512893751801716,0.04460472300486913,15,0.0,0,0.0,0,520,279,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,990,22,22.352610152846687,0.05490094909198622,18,0.0,0,0.0,0,536,295,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,1020,12,24.00922972022838,0.039599049181271086,12,0.0,0,0.0,0,552,309,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,1050,18,23.726648909695147,0.05343170984734608,16,0.0,0,0.0,0,569,324,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,2,1080,19,23.573979145251627,0.0422274428530803,15,0.0,0,0.0,0,585,340,0,0,1200.0,1200.0,30.0,0.0,0
