scenario,controller,seed,window_end_s,mainline_vehicle_observations,mainline_speed_mps,mainline_occupancy,bottleneck_throughput_veh,ramp_vehicle_mean_veh,ramp_vehicle_max_veh,ramp_halting_mean_veh,ramp_halting_max_veh,departed_veh,arrived_veh,teleports,collisions,requested_rate_vph,applied_rate_vph,green_s,red_s,state_mismatches
1950+0,none,5,30,0,,0.0,0,0.0,0,0.0,0,16,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,60,0,,0.0,0,0.0,0,0.0,0,32,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,90,0,,0.0,0,0.0,0,0.0,0,49,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,120,0,,0.0,0,0.0,0,0.0,0,65,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,150,0,,0.0,0,0.0,0,0.0,0,81,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,180,1,31.98978394875707,0.0024486984175576747,1,0.0,0,0.0,0,97,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,210,10,26.833798942431343,0.021909441682334812,8,0.0,0,0.0,0,114,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,240,17,26.70089186995738,0.031201581803854593,13,0.0,0,0.0,0,130,0,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,270,20,26.158619762110266,0.04391273186706428,16,0.0,0,0.0,0,146,1,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,300,12,25.739346380189616,0.021258085913508275,9,0.0,0,0.0,0,162,1,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,330,18,23.935696494235625,0.046011549695331645,15,0.0,0,0.0,0,179,7,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,360,21,23.8512349977423,0.04942375271120814,17,0.0,0,0.0,0,195,19,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,390,15,23.63676833736472,0.04632263339186314,14,0.0,0,0.0,0,211,33,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,420,3,23.536476789470747,0.0064842293739436245,2,0.0,0,0.0,0,227,46,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,450,22,20.9408138135809,0.0483594132419635,17,0.0,0,0.0,0,244,53,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,480,24,20.941603270768613,0.07040586635951153,20,0.0,0,0.0,0,260,65,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,510,21,20.94104172204838,0.061528276462923755,18,0.0,0,0.0,0,276,79,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,540,21,20.930455123188775,0.06584513437765148,19,0.0,0,0.0,0,292,92,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,570,24,20.908028029208182,0.06676591270889957,19,0.0,0,0.0,0,309,97,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,600,24,21.0064037048182,0.05916929918293666,19,0.0,0,0.0,0,325,108,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,630,19,22.851047672714394,0.050396828356466965,16,0.0,0,0.0,0,341,121,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,660,14,22.985403831082944,0.03204298042630853,11,0.0,0,0.0,0,357,136,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,690,18,22.059685463332954,0.03450982918892199,13,0.0,0,0.0,0,374,151,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,720,21,21.840219989084048,0.05780501115186022,18,0.0,0,0.0,0,390,166,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,750,18,21.774880607681357,0.05992784950719662,17,0.0,0,0.0,0,406,180,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,780,22,21.784936812705926,0.06359575541638568,19,0.0,0,0.0,0,422,196,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,810,19,22.127995632978823,0.06312557151418711,18,0.0,0,0.0,0,439,211,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,840,16,22.595536613867896,0.051402490794189744,15,0.0,0,0.0,0,455,226,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,870,23,22.7746999303846,0.04580944892701003,16,0.0,0,0.0,0,471,239,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,900,18,22.29668465941875,0.06337358773091258,18,0.0,0,0.0,0,487,255,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,930,18,22.59644719702216,0.06246541065028547,18,0.0,0,0.0,0,504,270,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,960,17,23.645336287144698,0.03183871085754504,12,0.0,0,0.0,0,520,285,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,990,21,23.145336272044172,0.05899991182224085,18,0.0,0,0.0,0,536,302,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1020,18,23.072249460173687,0.04906878396576341,16,0.0,0,0.0,0,552,316,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1050,20,22.984023942634156,0.05438832236690321,17,0.0,0,0.0,0,569,330,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1080,22,23.138438573663613,0.045396827556631554,17,0.0,0,0.0,0,585,346,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1110,21,22.789560272381,0.05045708393653285,17,0.0,0,0.0,0,601,361,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1140,17,23.277675084242848,0.04795626612779718,15,0.0,0,0.0,0,617,376,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1170,20,23.35665450282553,0.050967960662387665,17,0.0,0,0.0,0,634,392,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1200,18,23.170667565881033,0.06085340697369095,18,0.0,0,0.0,0,650,406,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1230,17,23.158637490351303,0.04533407645896735,15,0.0,0,0.0,0,666,422,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1260,14,22.84578858399843,0.03757186740267571,12,0.0,0,0.0,0,682,437,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1290,24,22.36708284854671,0.03099597806677821,14,0.0,0,0.0,0,699,452,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1320,20,22.25805545211366,0.0518969994597569,17,0.0,0,0.0,0,715,467,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1350,26,22.184571918144474,0.0498549221366261,18,0.0,0,0.0,0,731,483,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1380,23,22.052712440236416,0.05728736533241848,18,0.0,0,0.0,0,747,497,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1410,18,22.140832398200306,0.0559535842708442,16,0.0,0,0.0,0,764,513,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1440,22,23.057355156227043,0.047594129419466454,18,0.0,0,0.0,0,780,528,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1470,21,21.88717970008086,0.06139676613027329,18,0.0,0,0.0,0,796,543,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1500,20,23.127581088157736,0.055261340989826144,18,0.0,0,0.0,0,812,558,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1530,20,23.411984410997484,0.054484038026779064,17,0.0,0,0.0,0,829,573,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1560,18,23.701100996157617,0.05464348055159007,17,0.0,0,0.0,0,845,587,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1590,14,24.463501324200372,0.040673146057508804,13,0.0,0,0.0,0,861,603,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1620,17,24.27519672851907,0.05022144705980812,16,0.0,0,0.0,0,877,617,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1650,19,23.729287870065953,0.05455017422688115,17,0.0,0,0.0,0,894,632,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1680,17,24.10620614365418,0.04713258499889055,15,0.0,0,0.0,0,910,648,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1710,19,22.856273433182626,0.039856548618672605,14,0.0,0,0.0,0,926,664,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1740,22,23.22124282367333,0.05596272617640731,18,0.0,0,0.0,0,942,679,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1770,23,23.19846827127113,0.04609662813123426,17,0.0,0,0.0,0,959,693,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1800,16,23.685204920225292,0.04395616932119235,14,0.0,0,0.0,0,975,710,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1830,16,22.953129528305137,0.045370370071812736,14,0.0,0,0.0,0,991,725,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1860,19,22.64211950792688,0.061134924444240825,18,0.0,0,0.0,0,1007,740,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1890,21,22.380863891032398,0.06314218318308727,19,0.0,0,0.0,0,1024,756,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1920,19,22.01809469942293,0.05155140685040654,15,0.0,0,0.0,0,1040,771,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1950,8,21.706227351832258,0.018034823851113893,5,0.0,0,0.0,0,1056,786,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,1980,22,21.6955813736146,0.05490335197758516,18,0.0,0,0.0,0,1072,802,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,2010,25,21.77210335798972,0.06749638029574119,21,0.0,0,0.0,0,1089,816,0,0,1200.0,1200.0,30.0,0.0,0
1950+0,none,5,2040,22,21.756824713662894,0.051997715159772424,17,0.0,0,0.0,0,1105,831,0,0,1200.0,1200.0,30.0,0.0,0
